Engine Rotation Speed,Engine Temperature,Engine Vibration,Noise,Risk
19347.77,620.09,1.31,125.3,0
19738.64,631.47,0.99,122.96,0
27353.73,973.31,3.98,146.77,1
28977.66,844.64,2.36,124.95,0
27392.07,923.06,3.27,137.69,1
19717.88,605.54,1.66,140.03,0
27923.75,783.0,2.73,134.78,0
26313.8,940.83,3.81,135.81,1
19194.99,609.83,3.77,133.76,1
20173.78,602.6,1.31,130.96,0
21166.51,638.88,4.0,139.34,1
20794.57,1005.03,1.05,129.95,1
20011.23,616.41,0.85,135.57,0
20275.74,610.22,1.32,123.37,0
19260.74,578.4,1.06,135.29,0
20795.2,582.93,0.96,130.2,0
20294.08,968.81,1.21,125.53,1
20239.42,599.18,3.57,127.9,1
27544.77,1020.96,3.07,138.87,1
20239.34,604.68,4.21,127.11,1
20201.1,607.46,4.01,131.79,1
26196.87,961.85,3.82,135.73,1
20544.38,588.71,1.21,124.14,0
28670.67,802.77,2.54,127.76,0
19422.82,547.45,1.08,130.79,0
27186.32,954.99,3.96,141.22,1
19387.12,556.07,1.27,135.24,0
18822.15,1037.24,1.53,132.23,1
28025.46,805.11,1.93,133.14,0
20172.81,988.14,1.51,131.17,1
20297.75,582.3,1.16,130.36,0
27626.39,817.88,2.36,131.97,0
19971.05,577.95,1.14,122.0,0
27804.56,806.1,2.71,129.46,0
27761.51,820.61,2.71,135.96,0
19922.65,1011.42,1.23,127.39,1
20062.61,587.12,1.24,132.72,0
19842.35,571.77,1.27,125.99,0
20149.9,550.33,4.19,142.37,1
20961.72,576.76,0.69,127.64,0
20318.8,607.76,1.56,122.41,0
26831.09,931.18,3.87,142.31,1
19493.05,602.57,0.92,131.28,0
28255.78,810.96,2.46,130.7,0
27166.38,966.79,3.57,133.95,1
20042.66,575.75,0.95,132.61,0
20256.76,657.67,4.12,132.87,1
26926.43,930.3,3.76,140.39,1
27656.32,832.95,1.79,132.34,0
20778.58,605.61,4.19,141.85,1
20128.6,592.78,1.2,128.37,0
19415.26,578.37,2.03,124.81,0
27916.58,797.11,2.24,134.92,0
19977.21,607.3,1.13,131.76,0
26499.5,981.0,3.3,130.67,1
28343.39,827.58,2.48,136.15,0
19395.15,618.0,1.66,136.09,0
20837.14,962.97,0.9,121.2,1
28362.0,791.41,2.07,137.76,0
19850.16,598.49,1.99,124.44,0
20204.13,548.92,1.51,132.36,0
19717.9,555.18,1.58,127.51,0
19820.12,560.22,1.08,131.3,0
26946.31,998.17,3.46,141.51,1
20351.61,609.73,3.66,131.33,1
19166.62,555.16,1.24,130.13,0
27128.97,832.25,2.4,133.73,0
20360.84,566.13,1.04,132.45,0
20459.54,591.29,1.28,131.61,0
28055.65,924.18,3.4,138.16,1
19709.97,607.18,1.35,132.36,0
19614.4,546.78,0.99,126.91,0
19512.66,623.61,1.55,125.9,0
20812.67,949.15,1.71,128.7,1
20128.01,629.48,1.7,135.07,0
20436.53,618.27,4.13,119.83,1
27034.45,946.02,3.85,133.44,1
19671.64,559.33,3.81,133.35,1
27098.84,874.35,3.63,141.96,1
19607.34,658.47,4.22,139.63,1
27277.91,943.2,3.37,150.04,1
27773.79,776.97,1.86,135.51,0
28736.49,757.39,2.78,127.41,0
20316.2,629.18,1.39,122.15,0
19925.89,1005.16,1.09,128.05,1
20108.34,590.9,1.13,133.83,0
28055.53,747.93,3.23,132.66,0
26751.34,958.82,3.55,147.31,1
20480.31,1013.74,1.15,129.27,1
28541.19,848.48,2.59,131.17,0
28278.36,818.39,2.32,144.29,0
19251.37,638.43,1.0,133.61,0
19975.27,592.45,3.94,138.04,1
27510.98,956.34,3.4,144.8,1
27110.09,980.97,4.08,135.23,1
27405.85,959.96,4.38,134.86,1
19889.61,587.83,4.16,126.11,1
19601.61,586.25,4.1,136.71,1
28688.69,970.3,3.38,134.72,1
26624.33,995.6,3.54,144.42,1
28451.34,809.71,2.49,143.41,0
20563.2,597.04,4.6,135.22,1
27508.45,769.68,2.42,138.68,0
28021.51,832.02,2.4,123.74,0
29074.12,782.39,1.9,124.51,0
19779.98,603.92,1.63,122.82,0
20634.81,952.65,1.61,129.28,1
26736.72,910.33,3.62,143.33,1
20483.46,578.31,4.09,137.72,1
28068.16,772.93,2.42,133.28,0
20836.29,612.57,0.99,129.72,0
18987.43,605.59,1.0,134.26,0
19558.07,604.61,1.22,124.29,0
26906.14,975.22,3.25,137.54,1
19792.69,570.14,1.36,139.01,0
19686.13,591.36,1.63,117.56,0
27327.51,832.49,2.41,137.92,0
28106.15,807.22,2.41,130.45,0
26102.9,982.49,2.95,144.49,1
19771.08,595.22,1.09,123.26,0
28027.7,813.05,2.25,131.22,0
19946.01,986.61,1.47,131.67,1
28159.08,812.41,2.22,135.37,0
28033.05,850.34,3.22,137.66,0
19806.21,940.04,0.94,137.27,1
19748.51,607.9,1.29,128.83,0
26646.67,971.59,3.48,138.56,1
19933.68,570.76,1.53,129.4,0
28914.49,866.97,2.45,130.96,0
27959.18,789.0,2.56,138.16,0
28310.47,836.29,2.41,130.6,0
19514.17,558.61,1.01,134.31,0
18828.76,998.99,1.08,132.69,1
27875.64,825.05,2.75,143.19,0
28324.27,801.27,2.55,131.47,0
19934.26,624.78,1.07,121.97,0
20354.68,600.58,1.16,127.88,0
19377.73,606.99,1.02,124.93,0
19699.32,609.59,0.72,132.2,0
20012.11,642.37,1.18,132.26,0
19969.45,577.54,1.33,135.84,0
27488.13,830.52,2.2,131.97,0
20190.26,620.72,4.04,143.02,1
27103.74,963.37,3.63,131.98,1
19568.25,599.06,1.21,132.36,0
26775.55,937.82,3.53,131.93,1
28444.08,826.28,2.04,138.98,0
19053.19,606.4,1.2,125.91,0
27402.47,1015.71,3.76,145.14,1
26267.51,929.95,3.2,131.23,1
28450.88,797.88,2.46,137.4,0
19980.05,557.87,1.16,132.6,0
19504.67,591.4,4.59,135.39,1
27268.4,912.51,3.93,130.7,1
20092.49,613.58,1.71,126.15,0
27644.99,819.56,2.75,123.96,0
18888.21,584.46,1.11,126.84,0
19645.21,562.24,1.13,128.46,0
19866.34,1003.45,1.31,134.52,1
19234.45,615.43,1.37,129.69,0
19877.31,577.39,0.93,125.92,0
27008.19,920.39,2.82,142.16,1
27039.52,941.36,3.55,135.04,1
27553.77,828.12,2.94,139.69,0
19471.98,592.29,1.29,140.34,0
19982.09,646.94,0.41,134.11,0
21194.19,635.53,1.42,130.56,0
20259.05,584.12,0.94,129.95,0
20437.26,580.51,0.84,124.79,0
26214.29,922.03,2.81,136.09,1
20774.32,609.61,1.57,130.67,0
19581.83,544.01,4.48,131.4,1
19718.92,593.72,0.69,125.97,0
20073.47,584.34,2.12,136.8,0
27075.7,941.22,3.31,144.49,1
28836.02,814.92,1.95,128.68,0
19266.61,584.96,1.49,132.58,0
20389.18,583.46,0.95,129.98,0
27937.36,787.34,2.86,132.62,0
20256.8,622.49,3.77,138.11,1
19503.57,556.64,1.4,132.89,0
19967.93,609.86,1.3,132.11,0
20839.09,987.81,1.15,125.29,1
20869.43,590.36,1.75,134.07,0
27262.61,795.06,2.24,137.46,0
28195.1,833.72,2.17,140.19,0
19865.56,566.8,1.97,130.3,0
27193.49,802.08,2.33,139.83,0
27235.7,988.16,3.58,135.76,1
26803.31,927.13,3.27,138.03,1
26683.36,947.1,3.8,157.65,1
26866.12,989.68,3.55,134.88,1
28482.63,821.63,1.89,141.61,0
19735.12,615.4,1.23,134.84,0
19719.08,614.38,0.41,142.75,0
20209.38,606.62,0.82,128.11,0
19111.99,631.92,1.28,136.92,0
19876.97,574.7,1.85,129.12,0
19354.72,595.7,1.53,119.04,0
27091.5,924.97,2.98,141.18,1
27422.68,773.58,2.73,144.86,0
19575.55,560.74,3.95,130.67,1
28597.07,845.82,2.36,136.18,0
27157.22,939.23,3.72,135.34,1
19865.06,570.64,1.07,131.89,0
20252.79,644.67,1.88,127.98,0
26396.12,974.27,3.25,137.59,1
29025.75,839.2,2.85,133.47,0
27492.54,782.02,2.62,136.79,0
19997.87,1015.78,1.64,127.06,1
21273.03,651.37,3.84,127.74,1
19734.75,582.73,1.12,118.49,0
20153.84,567.13,0.94,138.99,0
20838.2,571.63,0.85,135.69,0
28342.05,804.04,2.89,129.29,0
20408.04,635.29,3.62,138.57,1
19218.73,584.13,1.44,123.73,0
19734.39,614.52,0.87,133.41,0
25923.54,949.08,3.33,132.86,1
26535.89,987.3,3.61,130.95,1
19402.74,608.57,0.95,132.77,0
20443.44,587.38,0.42,130.99,0
27170.05,802.66,3.23,128.32,0
20440.7,621.63,0.93,136.78,0
19759.58,620.89,1.04,129.56,0
27963.85,770.26,2.28,128.79,0
19417.01,993.08,1.27,124.65,1
25977.69,932.63,3.82,143.94,1
27306.73,949.02,3.75,135.47,1
26672.73,888.51,3.61,147.28,1
19930.75,635.11,4.0,132.78,1
26440.74,969.29,3.09,138.5,1
18923.33,632.91,1.06,125.69,0
19553.13,588.36,1.15,115.5,0
19442.96,581.07,0.92,127.26,0
19580.71,560.7,3.88,138.77,1
27146.41,893.59,3.03,136.82,1
19237.19,616.56,3.77,135.59,1
19587.45,601.39,4.02,142.72,1
20465.27,970.17,1.03,129.94,1
19300.46,554.39,1.34,135.03,0
19675.36,563.28,1.21,126.15,0
20425.45,595.88,1.32,129.48,0
20173.35,675.35,0.65,129.84,0
19403.04,604.29,1.72,141.16,0
19536.32,607.15,1.49,132.51,0
27505.17,772.5,2.47,133.95,0
19043.57,1043.32,1.35,129.79,1
27991.82,950.36,3.62,146.8,1
26381.76,988.23,3.47,148.65,1
20226.75,570.53,1.22,132.23,0
20340.11,635.78,0.67,131.6,0
20421.15,600.7,1.61,122.44,0
27016.07,898.23,3.51,148.47,1
28646.99,791.27,2.82,133.33,0
21043.02,569.56,1.09,132.08,0
27466.82,797.99,2.58,133.7,0
28399.32,827.66,2.78,137.76,0
20407.75,598.56,1.15,128.22,0
26561.65,969.81,3.38,129.64,1
27158.97,839.48,2.21,133.37,0
19641.07,1013.88,1.4,131.45,1
19931.28,628.59,1.68,136.57,0
27987.04,961.32,3.44,145.16,1
27477.91,825.44,3.06,133.39,0
19953.53,592.81,1.54,130.93,0
19604.56,601.02,0.79,133.51,0
20085.59,565.71,3.64,143.02,1
27135.84,997.72,3.54,145.22,1
20059.18,575.9,3.99,133.95,1
20421.9,999.48,1.0,129.24,1
19701.55,549.77,1.17,130.17,0
20487.91,627.55,0.83,130.27,0
19644.27,588.47,1.08,135.11,0
27349.48,931.13,3.46,140.08,1
20130.43,624.0,4.21,137.53,1
20240.29,573.81,1.14,124.84,0
20091.46,934.39,1.34,129.45,1
20274.56,584.1,3.87,132.49,1
27624.86,918.31,3.82,145.24,1
19646.55,625.67,1.69,135.35,0
26875.51,959.42,3.41,141.57,1
20368.42,591.56,1.22,132.58,0
20113.34,583.15,1.03,133.48,0
19249.89,576.63,1.61,134.43,0
26983.49,934.89,3.45,143.57,1
20359.21,595.27,1.01,138.33,0
20056.76,619.86,1.68,123.81,0
20328.88,597.91,0.84,135.29,0
19925.18,949.89,1.2,128.36,1
19523.84,579.69,0.97,134.15,0
19906.55,551.09,1.56,133.89,0
27151.45,831.25,1.96,133.3,0
27704.33,841.64,2.31,142.03,0
20312.06,618.85,1.2,125.51,0
19828.73,605.11,0.91,128.97,0
19921.49,563.7,1.68,134.38,0
27925.91,773.4,2.26,133.25,0
20260.97,608.91,1.28,131.73,0
19337.42,663.15,3.38,131.0,1
27134.89,776.7,2.15,124.92,0
27785.08,785.4,2.91,137.8,0
28069.11,845.99,2.76,131.96,0
27685.07,802.89,1.81,135.85,0
27185.87,746.91,2.48,128.94,0
20098.65,609.34,1.71,135.36,0
19764.87,1034.96,1.12,120.65,1
19399.85,589.96,1.06,126.73,0
20763.11,623.03,4.44,129.77,1
20104.43,541.21,0.8,130.98,0
20239.49,610.01,1.51,127.45,0
28725.4,766.49,2.58,136.23,0
26418.53,939.28,3.79,138.5,1
28206.81,829.7,2.68,138.12,0
27823.1,802.56,2.92,135.1,0
27061.71,906.25,3.99,141.85,1
20188.2,572.94,0.94,135.63,0
26660.01,791.19,2.77,131.94,0
27666.42,801.0,2.61,143.9,0
20305.12,1004.24,1.31,129.09,1
20139.98,566.24,1.93,130.65,0
19366.68,960.31,0.99,125.77,1
20074.8,602.93,1.33,134.22,0
19960.08,581.65,3.45,132.79,1
26799.4,971.29,3.78,141.04,1
19500.78,648.7,1.8,131.96,0
20570.03,574.89,1.18,132.23,0
19697.42,627.31,1.67,132.28,0
19474.93,622.72,1.61,133.48,0
26115.97,950.59,3.48,143.27,1
20928.32,585.55,1.3,120.98,0
26785.48,898.86,3.43,137.6,1
27570.58,767.54,2.15,136.76,0
18546.51,588.76,0.89,121.84,0
27351.75,947.67,3.42,138.19,1
28586.45,800.51,2.74,138.59,0
19164.01,585.82,3.68,136.34,1
20246.66,605.55,0.94,133.5,0
28454.64,828.16,2.73,134.33,0
19823.44,600.93,3.79,140.54,1
18764.18,576.09,1.37,128.98,0
20007.56,610.09,3.89,132.6,1
20082.38,601.53,1.25,131.22,0
19570.45,578.26,3.9,133.67,1
27497.71,967.27,3.41,137.69,1
20056.73,605.58,1.48,135.09,0
19913.59,566.13,3.98,123.88,1
19936.17,583.18,0.32,140.26,0
19674.29,585.48,1.1,132.12,0
27653.53,817.3,2.78,141.1,0
27206.57,943.0,3.36,139.35,1
27315.61,915.46,3.83,138.11,1
28264.96,920.19,3.16,136.23,1
20430.82,604.17,0.73,125.99,0
26845.52,886.86,3.54,130.57,1
19695.89,610.89,1.29,120.55,0
20356.36,543.51,1.09,132.19,0
21008.89,601.32,4.17,127.75,1
20559.45,638.23,1.15,135.49,0
19495.78,537.42,0.76,123.13,0
19844.4,567.27,3.34,133.69,1
28755.14,792.61,2.37,134.74,0
20109.65,601.06,3.78,124.12,1
20232.18,583.48,1.29,125.57,0
28154.06,797.68,2.66,134.86,0
19810.44,593.89,1.03,124.93,0
20344.36,1008.29,1.63,120.25,1
26604.99,970.78,3.41,145.95,1
20185.11,617.53,1.17,129.71,0
19688.12,657.42,1.14,131.09,0
27519.01,972.93,4.02,137.65,1
20038.68,574.16,1.66,132.69,0
28627.97,817.24,2.84,141.06,0
27872.4,845.35,3.16,135.63,0
27205.19,986.44,3.46,142.03,1
19982.71,584.66,3.91,139.21,1
28636.46,798.11,2.52,136.7,0
20915.37,1004.8,0.91,131.24,1
19886.45,595.75,1.24,133.64,0
27441.8,909.01,3.18,141.68,1
20114.5,544.26,1.38,131.49,0
28870.69,885.28,2.42,136.77,0
19986.24,653.17,1.7,127.71,0
20147.01,554.91,3.69,137.27,1
19320.71,567.61,0.59,129.49,0
19522.57,553.78,3.63,139.32,1
28729.58,793.78,2.54,133.79,0
26681.58,972.23,3.41,140.75,1
19781.64,598.02,1.83,128.76,0
26386.91,1015.9,3.73,139.99,1
20116.39,577.3,0.54,135.97,0
28014.58,769.25,2.28,134.98,0
27094.32,998.24,3.19,144.41,1
27707.42,923.77,3.47,137.74,1
20307.89,636.12,1.16,127.75,0
20288.68,596.14,1.62,127.58,0
19778.29,981.89,1.68,134.73,1
19687.83,594.46,1.02,118.97,0
20219.73,638.04,1.19,122.89,0
26871.47,958.33,3.22,135.02,1
19655.92,667.57,1.49,128.38,0
19500.85,615.56,1.46,130.86,0
19907.98,525.37,1.13,134.85,0
20724.41,590.55,1.13,137.33,0
19359.85,626.17,1.4,129.5,0
20050.93,646.47,0.83,122.66,0
20281.44,573.61,1.8,127.35,0
27882.46,1033.77,3.53,143.94,1
28279.91,804.28,2.83,138.36,0
19909.6,578.56,3.89,145.16,1
20117.81,623.13,0.76,135.72,0
26913.58,936.93,3.63,136.25,1
26213.51,918.42,3.8,141.27,1
27064.68,878.58,2.95,143.08,1
20222.3,1003.02,0.97,124.39,1
27805.79,806.68,2.93,133.48,0
27881.73,763.52,2.1,142.74,0
20116.89,553.32,1.3,134.17,0
19998.2,565.25,1.65,134.39,0
19585.5,583.19,1.42,133.05,0
19915.81,590.22,1.32,129.23,0
19665.95,629.76,1.15,126.22,0
26327.33,941.57,3.65,142.64,1
20658.56,596.46,0.56,126.96,0
28560.98,753.87,2.48,136.82,0
20629.44,602.84,3.76,134.71,1
27432.2,812.16,2.34,122.11,0
26756.66,978.31,3.71,139.9,1
19760.41,594.43,0.87,124.02,0
19840.63,569.11,1.16,131.55,0
26669.49,934.55,3.36,141.69,1
28793.06,801.14,2.67,132.56,0
27800.33,741.22,2.38,130.17,0
20132.13,598.79,1.42,130.47,0
26102.93,966.19,3.4,134.15,1
19003.13,611.22,1.57,123.95,0
26395.57,933.02,3.48,147.69,1
28216.52,809.4,2.52,121.72,0
26703.77,959.81,3.33,142.0,1
27213.39,766.4,2.86,143.78,0
27576.75,984.88,3.63,140.83,1
19955.13,643.2,1.0,139.0,0
18982.05,583.72,3.42,133.35,1
20068.68,687.55,1.14,124.35,0
26041.33,905.87,3.6,136.31,1
19784.5,982.84,1.28,131.25,1
20131.01,1018.0,1.09,130.89,1
19988.22,594.77,1.27,128.15,0
19920.73,572.46,1.23,122.18,0
20279.9,632.42,1.45,132.3,0
28269.52,790.34,2.55,132.06,0
19287.62,983.63,1.11,137.94,1
26450.54,970.62,3.47,137.73,1
20574.64,578.9,1.19,138.85,0
19240.33,515.04,1.06,132.76,0
20153.9,548.69,0.8,133.72,0
28725.17,766.34,2.28,131.16,0
26843.58,980.93,3.41,142.16,1
19885.7,570.17,0.43,129.04,0
27440.3,785.8,3.03,133.71,0
18990.76,604.35,1.44,129.39,0
28252.72,936.45,4.07,138.68,1
19235.71,646.72,4.02,137.44,1
27050.89,959.19,3.53,146.21,1
26785.51,978.94,3.89,144.8,1
18963.93,983.85,1.03,126.49,1
20370.21,620.1,4.09,134.02,1
19968.36,580.21,1.5,130.63,0
20006.41,614.39,1.12,120.82,0
26705.37,912.4,3.62,139.41,1
20477.0,619.54,1.11,133.79,0
20534.72,599.88,4.06,133.76,1
20349.41,612.63,1.35,127.37,0
20256.8,584.02,0.85,115.64,0
27445.03,931.78,3.44,147.0,1
26837.57,975.79,3.21,136.57,1
20535.18,638.16,1.17,128.06,0
26968.55,936.56,3.7,138.02,1
28243.66,823.78,3.2,135.72,0
20163.07,562.47,1.48,129.08,0
20725.46,654.22,0.7,124.88,0
26606.71,959.97,2.97,142.27,1
21190.86,624.82,1.55,127.47,0
26372.92,933.35,3.08,150.46,1
19741.79,594.11,1.14,126.27,0
19761.72,560.86,0.93,121.79,0
26329.76,940.41,3.54,130.83,1
26468.32,980.65,3.18,134.75,1
27717.09,897.82,3.26,137.24,1
28349.2,833.51,2.47,125.66,0
19326.44,570.85,1.56,126.72,0
20386.78,975.13,1.16,127.24,1
28083.01,829.89,2.77,136.77,0
20644.04,600.44,0.83,136.27,0
26568.01,946.2,3.23,143.48,1
27069.24,777.06,2.57,136.62,0
20247.02,607.82,1.03,126.64,0
27739.02,777.59,2.05,139.96,0
19723.87,567.09,1.89,139.34,0
20583.89,607.63,1.3,127.94,0
19693.61,588.37,1.29,131.67,0
27430.36,851.03,3.04,133.83,0
27793.92,783.78,2.31,135.87,0
27398.99,933.35,3.5,139.54,1
26461.14,960.29,3.69,143.21,1
28068.88,786.76,2.53,134.06,0
19251.92,572.45,1.6,129.15,0
19712.18,603.66,1.97,129.52,0
18761.6,1005.03,1.66,130.58,1
26919.47,787.37,2.8,132.88,0
20309.44,649.15,1.31,131.56,0
27076.26,903.45,4.16,133.26,1
28618.58,839.37,2.23,134.23,0
19166.17,1019.72,0.94,125.08,1
20090.93,607.45,1.06,125.75,0
19959.06,616.91,3.92,136.74,1
27956.73,832.73,3.0,141.51,0
26856.05,957.35,3.42,132.28,1
27505.42,787.59,2.53,135.23,0
20411.18,574.89,1.37,128.28,0
19133.75,978.2,1.21,125.73,1
27021.52,970.61,2.88,150.61,1
20053.6,590.43,1.39,129.6,0
26620.1,928.7,3.54,134.68,1
19939.53,612.59,0.93,127.81,0
27708.87,786.14,2.71,139.8,0
19845.08,623.55,4.25,133.58,1
19904.98,589.28,1.15,136.86,0
19933.11,964.19,1.41,142.86,1
27877.8,816.68,2.41,133.97,0
19594.5,566.58,1.28,131.06,0
20831.87,609.16,1.38,137.07,0
26223.48,907.89,3.47,151.27,1
20055.27,581.21,1.35,115.73,0
20472.75,597.62,4.09,133.47,1
19932.99,600.44,0.96,133.24,0
19860.0,561.63,1.35,125.83,0
20131.03,541.51,1.09,118.91,0
28373.19,798.94,2.26,130.39,0
27367.39,856.57,2.04,140.76,0
20286.87,561.71,0.81,131.46,0
28412.35,817.57,2.67,141.94,0
19961.45,610.23,1.28,134.14,0
26998.53,787.5,2.86,133.22,0
26514.86,909.41,3.54,139.14,1
20405.7,565.55,1.45,137.69,0
19428.33,602.62,1.27,126.41,0
20240.13,568.35,1.45,125.19,0
20633.46,578.77,1.33,133.87,0
28927.56,811.35,2.64,137.7,0
27374.99,809.17,2.67,138.63,0
26782.43,910.55,3.57,137.62,1
28202.2,727.62,2.82,127.45,0
20004.39,592.87,1.22,127.44,0
20778.21,1017.99,0.29,137.89,1
26695.75,919.76,3.58,131.03,1
19592.62,605.28,0.83,128.67,0
19948.28,562.83,1.83,137.97,0
20277.7,632.5,3.82,130.29,1
20090.15,961.32,1.02,136.23,1
20395.87,582.84,3.81,143.29,1
19440.23,588.19,1.25,136.15,0
20288.28,609.34,2.12,135.6,0
27476.59,973.67,3.31,136.47,1
20351.57,616.0,1.25,123.09,0
19720.88,1008.38,1.07,136.36,1
26353.44,952.52,3.18,134.11,1
20083.23,614.77,1.29,142.28,0
19468.85,614.21,0.92,137.75,0
20190.97,612.9,1.51,131.19,0
19473.08,612.83,0.69,127.19,0
20397.3,629.21,1.05,129.25,0
20355.71,693.39,1.44,125.76,0
27598.1,817.58,2.89,128.87,0
19693.3,590.93,1.08,130.85,0
20550.41,631.84,1.36,131.81,0
27608.57,771.19,2.59,130.78,0
19603.74,596.56,1.35,134.33,0
26963.45,926.28,3.8,137.98,1
20395.52,572.72,1.62,122.99,0
19504.63,988.07,0.73,131.86,1
27164.32,932.79,3.73,137.16,1
28753.85,787.74,2.68,134.49,0
20599.65,599.03,1.17,139.4,0
18954.85,594.89,1.12,128.0,0
26624.79,885.14,3.64,134.48,1
20647.49,616.33,1.45,132.57,0
20037.9,579.69,1.49,129.26,0
20504.74,574.65,0.75,129.54,0
27917.89,743.34,2.18,138.97,0
26807.91,927.14,4.28,142.1,1
19917.83,606.36,0.9,124.92,0
27438.55,850.03,2.43,132.63,0
19410.32,605.17,1.4,137.64,0
19960.83,584.54,3.86,135.15,1
26416.07,940.15,3.83,142.83,1
20796.33,600.58,0.84,129.75,0
20024.26,575.07,1.28,129.75,0
19455.68,1074.04,1.05,118.91,1
19933.19,966.7,1.48,130.38,1
20043.52,591.03,1.23,120.06,0
28019.93,823.5,2.32,130.96,0
20365.5,616.15,1.41,141.97,0
20136.26,1020.91,1.59,131.54,1
20096.43,1035.55,1.33,136.52,1
27690.51,823.66,2.81,128.64,0
19833.86,581.62,3.86,128.48,1
27899.87,859.67,2.32,136.17,0
19869.03,529.92,4.52,129.65,1
